Racer,Fixed Win Price,Fixed Place Price
2. MISHANI OPAL (4),MID,MID
3. DYNA POWER (11),MID,MID
4. ELIZABETHAN (7),MID,MID
5. FAITH OVER FEAR (5),MID,MID
6. HEAD BEE (1),MID,MID
7. MISS FARSTAR (10),MID,MID
8. MISS MILDRED (6),MID,MID
9. MISSIN' DE QUO (2),MID,MID
1. COPPABELLA ROAD (8),SCRATCHED,SCRATCHED
10. RAPID POWER (9),SCRATCHED,SCRATCHED
11. HOLD MY HALO (3),SCRATCHED,SCRATCHED
